-82.7,475,0.18152
-86.5,474.24,0.18079
-86.5,475,0.18128
-90.4,475,0.18107
-91,474.04,0.18033
-94.2,475,0.18088
-78.8,475,0.18176
-80.9,474.4,0.18119
-97,474.11,0.18005
-98.1,475,0.18065
-76.4,474.17,0.18126
-75,475,0.18195
-100.1,474.22,0.18
-101.9,475,0.18043
-45,474.19,0.18312
-47.1,475,0.18355
-43.1,475,0.18379
-73.1,474.08,0.18136
-71.1,475,0.18218
-69.9,474.13,0.18159
-67.1,475,0.18244
-60.9,474.21,0.18219
-63.1,475,0.18263
-59.1,475,0.18286
-48.8,474.13,0.18281
-51.1,475,0.18332
-52.8,474.08,0.18252
-55.1,475,0.1831
-36.7,474.2,0.18361
-39.1,475,0.18402
-35,475,0.18426
-40.9,474.1,0.18327
-102.9,474.24,0.17985
-105.8,475,0.18024
-25.1,474.21,0.18431
-27,475,0.18473
-23,475,0.18497
-33.1,474.2,0.18383
-31,475,0.18449
-29.1,474.16,0.18401
-16.8,474.15,0.18473
-19,475,0.18521
-15,475,0.18544
-20.9,474.05,0.1844
-63.9,473.92,0.1817
-57.4,473.83,0.182
-108.2,473.97,0.17928
-109.6,475,0.18002
-111.8,473.96,0.17907
-113.5,475,0.1798
-115.5,473.98,0.17889
-117.3,475,0.17958
-12.9,474.16,0.18498
-11,475,0.18569
-8.9,474.17,0.18523
-7,475,0.18593
-5,474.19,0.18548
-3,475,0.18617
-1.6,474.14,0.18564
1,475,0.18642
2.5,473.84,0.18553
5,475,0.18667
-121.2,475,0.17937
-119.2,474.01,0.17874
-122.4,474.13,0.17869
-125,475,0.17933
55.3,474.29,0.18934
53,475,0.18969
57,475,0.18994
26.9,473.97,0.18719
25,475,0.18791
29,475,0.18816
23,473.97,0.18694
21,475,0.18766
19,473.97,0.18669
17,475,0.18741
6.8,473.97,0.18595
9,475,0.18691
10.9,474,0.18623
13,475,0.18716
15,473.97,0.18645
-125,473.69,0.17813
59.2,474.19,0.18952
61,475,0.1902
75.5,474.21,0.19058
73,475,0.19098
77,475,0.19124
30.9,473.97,0.18744
33,475,0.18841
34.9,473.97,0.18769
37,475,0.18867
52.3,473.81,0.18858
49,475,0.18944
39,473.99,0.18797
41,475,0.18892
43,473.98,0.18822
45,475,0.18918
47.2,473.93,0.18842
-125,472.31,0.17534
-121.5,472.95,0.17687
95.1,474.25,0.19194
93,475,0.19231
97,475,0.19258
79.3,474.19,0.19081
81,475,0.19151
83.1,474.16,0.19103
85,475,0.19178
87.1,474.23,0.19139
89,475,0.19205
63.1,474.28,0.18985
65,475,0.19046
66.8,474.13,0.18994
69,475,0.19072
71.3,474.06,0.19015
-122.1,471.8,0.17388
-125,470.87,0.17075
98.7,474.28,0.19222
101,475,0.19286
91.2,474.15,0.19158
-121.7,469.62,0.16554
-125,469.35,0.16424
102.6,474.19,0.19239
105,475,0.19313
114.8,474.27,0.1933
113,475,0.19367
117,475,0.19395
111.4,474.25,0.19302
109,475,0.1934
118.4,474.14,0.19345
121,475,0.19422
-122.6,468.61,0.16045
-125,467.75,0.15578
107.1,474.03,0.19251
123,474.13,0.19368
125,475,0.1945
126.9,474.15,0.19399
129,475,0.19478
139.1,474.03,0.19469
137,475,0.19533
141,475,0.19561
143.1,474.01,0.19494
145,475,0.1959
147.1,473.99,0.1952
149,475,0.19618
151,473.98,0.19547
153,475,0.19647
155.1,473.98,0.19575
157,475,0.19675
159.1,473.97,0.19604
161,475,0.19704
-121.1,467.55,0.15468
-125,466.07,0.14541
130.4,474.03,0.19414
133,475,0.19505
135,474.03,0.19439
207.4,474.26,0.19994
205,475,0.20028
209,475,0.20058
175.4,474.32,0.19761
173,475,0.1979
177,475,0.19819
203.5,474.21,0.19959
201,475,0.19998
163.2,473.97,0.19633
165,475,0.19733
167.5,473.97,0.19663
169,475,0.19762
172.4,473.94,0.19695
210.9,474.29,0.20024
213,475,0.2009
251.1,474.02,0.20302
249,475,0.2037
253,475,0.20401
-121.8,465.04,0.13848
-125,464.3,0.13326
